fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-09-14,DL,DL_CODESHARE,DL,5019,9E,N309PQ,5019,12339,IND,"Indianapolis, IN",13204,MCO,"Orlando, FL",630,622.0,-8.0,22.0,644.0,830.0,10.0,847,840.0,-7.0,0.0,,0.0,N,137.0,138.0,106.0,1.0,829.0,,,,,,,,,
2018-09-21,UA,UA_CODESHARE,UA,5185,OO,N943SW,5185,13433,MOT,"Minot, ND",11292,DEN,"Denver, CO",1340,1329.0,-11.0,15.0,1344.0,1417.0,11.0,1435,1428.0,-7.0,0.0,,0.0,N,115.0,119.0,93.0,1.0,604.0,,,,,,,,,
2019-06-01,AA,AA,AA,1571,AA,N509AY,1571,12478,JFK,"New York, NY",13303,MIA,"Miami, FL",1100,1058.0,-2.0,21.0,1119.0,1353.0,6.0,1409,1359.0,-10.0,0.0,,0.0,N,189.0,181.0,154.0,1.0,1089.0,,,,,,,,,
2019-10-08,AS,AS_CODESHARE,AS,3463,OO,N186SY,3463,10849,BZN,"Bozeman, MT",14057,PDX,"Portland, OR",1445,1436.0,-9.0,15.0,1451.0,1534.0,6.0,1555,1540.0,-15.0,0.0,,0.0,N,130.0,124.0,103.0,1.0,554.0,,,,,,,,,
2018-02-14,B6,B6,B6,1347,B6,N760JB,1347,11278,DCA,"Washington, DC",14843,SJU,"San Juan, PR",800,753.0,-7.0,9.0,802.0,1219.0,6.0,1246,1225.0,-21.0,0.0,,0.0,N,226.0,212.0,197.0,1.0,1554.0,,,,,,,,,
2019-06-04,B6,B6,B6,883,B6,N715JB,883,12478,JFK,"New York, NY",13204,MCO,"Orlando, FL",1559,1559.0,0.0,17.0,1616.0,1827.0,5.0,1915,1832.0,-43.0,0.0,,0.0,N,196.0,153.0,131.0,1.0,944.0,,,,,,,,,
2018-07-27,UA,UA,UA,432,UA,N73276,432,13204,MCO,"Orlando, FL",11292,DEN,"Denver, CO",1936,2135.0,119.0,66.0,2241.0,18.0,8.0,2122,26.0,184.0,0.0,,0.0,N,226.0,291.0,217.0,1.0,1546.0,0.0,119.0,65.0,0.0,0.0,,,,
2018-04-04,UA,UA,UA,743,UA,N459UA,743,11618,EWR,"Newark, NJ",13930,ORD,"Chicago, IL",1529,1859.0,210.0,40.0,1939.0,2031.0,3.0,1711,2034.0,203.0,0.0,,0.0,N,162.0,155.0,112.0,1.0,719.0,0.0,29.0,0.0,0.0,174.0,,,,
2019-10-06,B6,B6,B6,573,B6,N588JB,573,11618,EWR,"Newark, NJ",15304,TPA,"Tampa, FL",538,527.0,-11.0,12.0,539.0,750.0,5.0,821,755.0,-26.0,0.0,,0.0,N,163.0,148.0,131.0,1.0,997.0,,,,,,,,,
2018-09-16,AA,AA_CODESHARE,AA,4941,PT,N635AE,4941,14100,PHL,"Philadelphia, PA",11823,FWA,"Fort Wayne, IN",1809,1808.0,-1.0,19.0,1827.0,1950.0,4.0,2020,1954.0,-26.0,0.0,,0.0,N,131.0,106.0,83.0,1.0,530.0,,,,,,,,,
